age,predicted brain age,predicted brain age_adjusted
9.221081451,9.985479643,8.09940733
9.87816564,10.64450037,8.919318559
9.166324435,9.726981171,7.827501316
9.063013699,9.826488831,7.901712802
9.084931507,9.847487136,7.928077797
9.183561644,9.976613575,8.081354341
9.315068493,10.07564716,8.212588065
9.079452055,9.841918131,7.92116712
9.328767123,10.09486114,8.23515623
9.353424658,10.11711367,8.263446285
9.435616438,10.19952232,8.365980025
9.405479452,10.1716044,8.330682907
9.109589041,9.875302047,7.961930234
9.191780822,9.956516032,8.063269307
9.323287671,15.35309093,13.49204434
9.095890411,9.860147988,7.943421994
9.265753425,10.76029678,8.885162629
9.134246575,9.896162115,7.988827829
9.109589041,9.875257789,7.961885977
9.178082192,9.94277779,8.046176884
9.17260274,9.93712066,8.039178082
9.301369863,10.06485587,8.198442596
9.167123288,9.932426509,8.033142257
9.147945205,9.910725862,8.006745757
9.167123288,9.931490119,8.032205868
9.265753425,13.25884131,11.38370716
9.156164384,9.921905254,8.019937658
9.120547945,9.881882109,7.971193641
9.443835616,8.954764893,7.123235103
9.101369863,9.409271883,7.493887562
9.221917808,9.986167749,8.100300223
9.430136986,9.223817826,7.388933856
9.364383562,8.598228598,6.747244558
9.178082192,9.941117673,8.044516767
9.353424658,10.11819511,8.26452772
9.725,10.49022495,8.72753973
9.227777778,9.993667054,8.109234372
9.816666667,10.5825108,8.842270644
9.816666667,10.58027576,8.840035604
9.738888889,10.50138743,8.742102978
8.619444444,9.384009585,7.350623302
9.994444444,10.00499273,8.308282398
8.816666667,9.582888335,7.597792946
9.152777778,9.917695896,8.014899071
9.472222222,10.2349596,8.410380423
8.988888889,10.39066136,8.447735488
8.272222222,9.037475175,6.919069714
9.280555556,10.04228475,8.170774986
9.625,9.393107248,7.605936506
9.583333333,10.34846271,8.551089671
8.575,9.338833802,7.294565064
9.219444444,9.983065616,8.096592474
9.333333333,8.566850543,6.708263691
9.916666667,9.151585531,7.435830899
10,9.326163842,7.630813813
8.083333333,14.24609626,12.08144037
8.333333333,9.09821372,6.994771635
9.166666667,9.760102726,7.860706669
8.583333333,9.345300664,7.303072387
8.5,7.736837107,5.674204227
9.166666667,11.4779807,9.57858464
8.75,9.314208329,7.312789258
8.833333333,8.783673037,6.802658569
5.583333333,6.349402073,3.572608096
10,10.76400103,9.068650998
8.666666667,9.006896069,6.985072395
6.416666667,7.17887872,4.606130771
9.5,10.26600447,8.448226821
8.5,9.264391078,7.201758199
9.5,10.26648359,8.448705944
8.333333333,7.929220372,5.825778286
8.75,9.515816979,7.514397908
10,12.732184,11.03683397
10,10.17270475,8.477354716
9.083333333,8.317649281,6.397848621
8.5,9.263477082,7.200844202
8.75,8.572859576,6.571440504
8.083333333,7.691357962,5.526702069
7.583333333,8.349549092,6.062465582
8.916666667,9.678524726,7.71791486
9.75,10.5147471,8.75818326
9.416666667,10.18234497,8.344162726
5.666666667,6.432233393,3.675844018
6.75,7.515373906,5.024244368
7.833333333,8.599698504,6.373828802
10,10.76548177,9.070131745
9.833333333,10.59911289,8.862953652
9.75,9.746051947,7.98948811
9.916666667,10.68200702,8.966252383
9.416666667,9.903773358,8.065591109
7.583333333,8.082417573,5.795334063
10,10.76562375,9.070273723
8.083333333,8.848593004,6.683937111
8.5,9.264102798,7.201469919
9.166666667,8.527021253,6.627625196
9.903832,10.67023525,8.951337987
9.395277,10.16113281,8.317713188
6.268651,7.03445059,4.42546023
7.445471,8.208891995,5.888052171
9.268993,11.28727551,9.412934594
5.70454,6.466727846,3.719611956
6.333789,10.67297422,8.079933239
7.574492,7.111208141,4.821959784
9.463153,11.08931417,9.26251434
9.633013,8.868413608,7.083204891
9.58955,8.822957227,7.027106368
5.189368,9.021371447,6.148112996
5.362537,7.800536723,4.969679607
9.934633,10.70007525,8.988719766
7.105863,7.871621717,5.467627097
7.510951,8.276245931,5.971439227
7.847707,10.06540018,7.843049949
5.269336,6.989235886,4.135558018
5.161989,5.923905807,3.043943464
7.905315,8.671031763,6.462787149
7.976386,8.741718593,6.550876085
5.016997,5.780783205,2.865318813
7.032397,7.794498491,5.372515336
9.038672,9.696412777,7.765676556
9.610997,10.37579024,8.585190788
5.77812,6.540920593,3.81182115
9.276979,10.03924879,8.166863284
7.798539,8.73555046,6.501161184
5.567191,6.331382546,3.550636034
7.300365,6.538060847,4.18169106
8.034109,8.796163499,6.61945477
8.573351,9.33607175,7.291399246
6.462468,7.227570587,4.666037334
9.17294,9.934256821,8.036396822
5.712297,6.475185228,3.72996868
8.751996,8.943133602,6.942203262
9.392083,10.15492998,8.310728293
6.333903,7.099125044,4.506111978
7.664955,8.431385713,6.164287695
6.221537,6.986276415,4.365749945
6.45973,7.220462362,4.658258695
9.934063,10.69905039,8.987555342
5.616472,7.450299017,4.681619216
8.932352,9.02263243,7.0658632
9.939767,10.44098548,8.730887086
7.949691,8.32894035,6.131561432
8.384668,9.145541345,7.054668822
7.662103,7.243833238,4.976036893
8.103011,8.867640363,6.707802649
9.282454,8.515492391,6.644447468
5.337668,6.102675245,3.265728825
7.470568,9.50364229,7.188947597
6.693018,7.121988753,4.616906873
7.09765,7.382302644,4.976297027
9.260438,10.02246154,8.146025882
7.13096,6.369260537,3.971411049
6.72861,7.282549054,4.786182062
8.48072,8.041423854,5.974070166
7.940908,7.471073511,5.271544029
8.22302,8.98814457,6.857691688
5.682295,6.447470296,3.694907601
9.342801,10.10911543,8.252846786
6.816221,7.58066802,5.105753041
5.742984,6.505384043,3.767681367
9.756103,10.52197854,8.766909057
8.537873,9.300232726,7.246873248
7.749828,6.983511655,4.737195235
8.699292,9.465504633,7.451669442
8.455624,9.220544001,7.147045425
7.571868,6.806092489,4.516201632
5.821811,6.586801068,3.868399595
7.119552,7.88480573,5.484162933
9.069016,8.313470489,6.390164155
8.034451,8.800572645,6.623947656
6.43566,7.198360821,4.630263489
9.44,10.20530938,8.372840424
10,10.76463626,9.069286235
9.15,11.90802604,10.00454906
8.94,8.173073821,6.218177244
9.4,10.1648826,8.322619435
8.86,9.625339708,7.650854713
9.69,10.10097647,8.329721321
8.2,12.22225494,10.08616549
9.69,10.45512025,8.6838651
9.8,10.56391806,8.819596982
9.8,10.56458857,8.820267494
8.2,8.295749201,6.159659751
9.2,9.964318775,8.073084559
8.7721,9.537652796,7.541645025
9.9548,9.527688403,7.821270917
9.9165,9.150347222,7.434551781
9.75,10.38792335,8.631359514
8.67,9.436979085,7.415971596
9.25,10.01262737,8.133635911
7.66,8.426687708,6.158376433
9.66,10.4257046,8.647103795
9.3,8.533135487,6.666386795
8.39,8.805273456,6.715706501
9.41,9.686641844,7.846827227
9.3,10.06608346,8.199334766
8.75,9.516135853,7.514716782
9.31,9.18291048,7.318610339
8.43,7.664762515,5.584989769
8.46,8.627138925,6.554711836
9.73,9.047804054,7.286343111
9.97,10.73345822,9.030762531
9.71,10.47589085,8.709532802
7.26,8.02521155,5.658958181
8.15,7.387979962,5.239647751
7.29,8.054236276,5.695328564
6.47,7.234795651,4.675106648
7.19,7.952128801,5.568735565
8.01,8.775517765,6.592905821
8.82,9.90152067,7.917241465
8.88,9.646473564,7.676885673
8.93,8.72042278,6.763077651
9.23,8.58552189,6.701633331
9.81,10.57476201,8.832889482
9.3149,10.07984487,8.216744525
8.2656,8.407255632,6.287228686
8.2464,9.011106365,6.886378198
8.3203,9.084158193,6.977524828
8.3313,8.615685601,6.511745644
9.2081,9.972159986,8.082909097
8.9363,9.700673056,7.744870515
9.7201,10.48441732,8.720532312
9.5202,10.28380567,8.4709741
9.21,9.97374845,8.084962786
9.5,10.33449548,8.516717836
9.79,9.277068463,7.530298835
10,10.76568839,9.070338365
10,10.764687,9.069336967
7,9.580754542,7.150838812
9.887671233,12.62256423,10.89970991
9.545205479,8.779546131,6.972837283
9.21369863,9.979568145,8.09168811
8.969863014,9.501449899,7.553865438
8.063013699,8.825242838,6.655611575
8.854794521,9.620089583,7.644329999
8.912328767,9.676297582,7.714625559
8.408219178,9.503531179,7.418425284
8.39,9.156155545,7.06658859
9.9,10.50120458,8.781369026
9.7,10.46609083,8.69728423
8.7,8.381060596,6.367398764
8.1,8.863293084,6.702718111
10,10.76670032,9.071350295
9,9.763143271,7.822938009
9,8.234330716,6.294125453
9,9.764546168,7.824340905
9,9.765873701,7.825668438
8,8.761384508,6.576324011
10,9.234393965,7.539043936
8,9.20950741,7.024446913
9,11.37210942,9.431904158
8,8.034147487,5.849086991
9,10.24844028,8.308235014
8,8.766432816,6.581372319
10,10.76692261,9.071572581
10,10.76658279,9.071232756
